date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:39:07	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2030%20Nov%202025%2015:09:04%20GMT	https://gowrisoftsolutions.com/robots.txt		(from )
20:39:07	41748/41748	---M-Z	200	added ('OK')	text/html	etag:%226b45453-a314-5b62a307e0480-gzip%22	https://gowrisoftsolutions.com/	C:/My%20Web%20Sites/gowrisoftsolutions/gowrisoftsolutions.com/index.html	(from )
20:39:08	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%226b454be-1d970-55e87bec91b80-gzip%22	https://gowrisoftsolutions.com/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/gowrisoftsolutions/gowrisoftsolutions.com/assets/css/bootstrap.min.css	(from https://gowrisoftsolutions.com/)
20:39:08	30992/30992	---M-Z	200	added ('OK')	text/css	etag:%226b454d6-7910-57e9639d4e100-gzip%22	https://gowrisoftsolutions.com/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/gowrisoftsolutions/gowrisoftsolutions.com/assets/css/font-awesome.min.css	(from https://gowrisoftsolutions.com/)
20:39:08	16450/16450	---M-Z	200	added ('OK')	text/css	etag:%226b454d9-4042-55e87bec91b80-gzip%22	https://gowrisoftsolutions.com/assets/css/themify-icons.css	C:/My%20Web%20Sites/gowrisoftsolutions/gowrisoftsolutions.com/assets/css/themify-icons.css	(from https://gowrisoftsolutions.com/)
20:39:08	1483/1483	---M-Z	200	added ('OK')	text/css	etag:%226b454da-5cb-55e87bec91b80-gzip%22	https://gowrisoftsolutions.com/assets/css/owl.carousel.css	C:/My%20Web%20Sites/gowrisoftsolutions/gowrisoftsolutions.com/assets/css/owl.carousel.css	(from https://gowrisoftsolutions.com/)
20:39:08	1776/1776	---M-Z	200	added ('OK')	text/css	etag:%226b454d7-6f0-55e87bec91b80-gzip%22	https://gowrisoftsolutions.com/assets/css/slick.css	C:/My%20Web%20Sites/gowrisoftsolutions/gowrisoftsolutions.com/assets/css/slick.css	(from https://gowrisoftsolutions.com/)
20:39:09	112735/112735	---M-Z	200	added ('OK')	text/css	etag:%226b45445-1b85f-5b59027035080-gzip%22	https://gowrisoftsolutions.com/css/style.css	C:/My%20Web%20Sites/gowrisoftsolutions/gowrisoftsolutions.com/css/style.css	(from https://gowrisoftsolutions.com/)
20:39:09	9624/9624	---M-Z	200	added ('OK')	text/css	etag:%226b45442-2598-5b5909a86d900-gzip%22	https://gowrisoftsolutions.com/css/scheme/orange.css	C:/My%20Web%20Sites/gowrisoftsolutions/gowrisoftsolutions.com/css/scheme/orange.css	(from https://gowrisoftsolutions.com/)
20:39:09	24793/24793	---M-Z	200	added ('OK')	text/css	etag:%226b45447-60d9-561064a8ce900-gzip%22	https://gowrisoftsolutions.com/css/responsive.css	C:/My%20Web%20Sites/gowrisoftsolutions/gowrisoftsolutions.com/css/responsive.css	(from https://gowrisoftsolutions.com/)
20:39:09	6841/6841	---M-Z	200	added ('OK')	text/css	etag:%226b45448-1ab9-5b6010a903a00-gzip%22	https://gowrisoftsolutions.com/css/gowrisoft.css	C:/My%20Web%20Sites/gowrisoftsolutions/gowrisoftsolutions.com/css/gowrisoft.css	(from https://gowrisoftsolutions.com/)
20:39:10	3346/3346	---M--	200	added ('OK')	image/png	etag:%226b4551b-d12-57e547642df80%22	https://gowrisoftsolutions.com/images/favicon.png	C:/My%20Web%20Sites/gowrisoftsolutions/gowrisoftsolutions.com/images/favicon.png	(from https://gowrisoftsolutions.com/)
20:39:10	8760/8760	---M--	200	added ('OK')	image/png	etag:%226b45581-2238-57ee74adb8980%22	https://gowrisoftsolutions.com/images/apple-touch-icon.png	C:/My%20Web%20Sites/gowrisoftsolutions/gowrisoftsolutions.com/images/apple-touch-icon.png	(from https://gowrisoftsolutions.com/)
20:39:10	10505/10505	---M--	200	added ('OK')	image/png	etag:%226b4556e-2909-57ee74e8d9500%22	https://gowrisoftsolutions.com/images/icon-72x72.png	C:/My%20Web%20Sites/gowrisoftsolutions/gowrisoftsolutions.com/images/icon-72x72.png	(from https://gowrisoftsolutions.com/)
20:39:11	19779/19779	---M--	200	added ('OK')	image/png	etag:%226b4551c-4d43-57ee7512cf800%22	https://gowrisoftsolutions.com/images/icon-114x114.png	C:/My%20Web%20Sites/gowrisoftsolutions/gowrisoftsolutions.com/images/icon-114x114.png	(from https://gowrisoftsolutions.com/)
